date,optionType,ticker,callPut,T,optionPrice,K,stockPrice,
2021-01-04,asian,AAPL  ,call,0.5,69.3549,60.00,129.4100,
2021-01-04,asian,AAPL  ,call,0.5,6.4084,129.00,129.4100,
2021-01-04,asian,AAPL  ,call,0.5,0.0002,190.00,129.4100,
2021-01-04,asian,AAPL  ,call,1.0,69.0820,60.00,129.4100,
2021-01-04,asian,AAPL  ,call,1.0,9.6574,129.00,129.4100,
2021-01-04,asian,AAPL  ,call,1.0,0.0176,190.00,129.4100,
2021-01-04,asian,AAPL  ,call,2.0,68.3291,60.00,129.4100,
2021-01-04,asian,AAPL  ,call,2.0,14.8413,129.00,129.4100,
2021-01-04,asian,AAPL  ,call,2.0,0.5153,190.00,129.4100,
2021-01-04,asian,AAPL  ,call,3.0,67.5055,60.00,129.4100,
2021-01-04,asian,AAPL  ,call,3.0,19.0934,129.00,129.4100,
2021-01-04,asian,AAPL  ,call,3.0,1.9168,190.00,129.4100,
2021-01-05,asian,AAPL  ,call,0.5,70.9180,60.00,131.0100,
2021-01-05,asian,AAPL  ,call,0.5,6.2532,131.00,131.0100,
2021-01-05,asian,AAPL  ,call,0.5,0.0004,190.00,131.0100,
2021-01-05,asian,AAPL  ,call,1.0,70.6074,60.00,131.0100,
2021-01-05,asian,AAPL  ,call,1.0,9.5386,131.00,131.0100,
2021-01-05,asian,AAPL  ,call,1.0,0.0256,190.00,131.0100,
2021-01-05,asian,AAPL  ,call,2.0,69.7812,60.00,131.0100,
2021-01-05,asian,AAPL  ,call,2.0,14.7934,131.00,131.0100,
2021-01-05,asian,AAPL  ,call,2.0,0.6083,190.00,131.0100,
2021-01-05,asian,AAPL  ,call,3.0,68.8897,60.00,131.0100,
2021-01-05,asian,AAPL  ,call,3.0,19.1083,131.00,131.0100,
2021-01-05,asian,AAPL  ,call,3.0,2.1490,190.00,131.0100,
2021-01-06,asian,AAPL  ,call,0.5,66.6096,60.00,126.6000,
2021-01-06,asian,AAPL  ,call,0.5,6.3863,126.00,126.6000,
2021-01-06,asian,AAPL  ,call,0.5,0.0007,180.00,126.6000,
2021-01-06,asian,AAPL  ,call,1.0,66.4031,60.00,126.6000,
2021-01-06,asian,AAPL  ,call,1.0,9.5659,126.00,126.6000,
2021-01-06,asian,AAPL  ,call,1.0,0.0425,180.00,126.6000,
2021-01-06,asian,AAPL  ,call,2.0,65.7787,60.00,126.6000,
2021-01-06,asian,AAPL  ,call,2.0,14.6334,126.00,126.6000,
2021-01-06,asian,AAPL  ,call,2.0,0.7507,180.00,126.6000,
2021-01-06,asian,AAPL  ,call,3.0,65.0745,60.00,126.6000,
2021-01-06,asian,AAPL  ,call,3.0,18.7879,126.00,126.6000,
2021-01-06,asian,AAPL  ,call,3.0,2.4382,180.00,126.6000,
2021-01-07,asian,AAPL  ,call,0.5,70.8301,60.00,130.9200,
2021-01-07,asian,AAPL  ,call,0.5,6.7828,130.00,130.9200,
2021-01-07,asian,AAPL  ,call,0.5,0.0004,190.00,130.9200,
2021-01-07,asian,AAPL  ,call,1.0,70.5216,60.00,130.9200,
2021-01-07,asian,AAPL  ,call,1.0,10.0719,130.00,130.9200,
2021-01-07,asian,AAPL  ,call,1.0,0.0251,190.00,130.9200,
2021-01-07,asian,AAPL  ,call,2.0,69.6995,60.00,130.9200,
2021-01-07,asian,AAPL  ,call,2.0,15.3059,130.00,130.9200,
2021-01-07,asian,AAPL  ,call,2.0,0.6027,190.00,130.9200,
2021-01-07,asian,AAPL  ,call,3.0,68.8118,60.00,130.9200,
2021-01-07,asian,AAPL  ,call,3.0,19.5941,130.00,130.9200,
2021-01-07,asian,AAPL  ,call,3.0,2.1354,190.00,130.9200,
